city,state,doctors_per_100_beds
Hyderabad,Telangana,16.1
Chennai,Tamil Nadu,14.8
Kolkata,West Bengal,16.5
Pune,Maharashtra,15.4
Ahmedabad,Gujarat,16.6
Bengaluru,Karnataka,15.6
Delhi,Delhi,14.9
Mumbai,Maharashtra,16.1
Lucknow,Uttar Pradesh,15.7
Chandigarh,Chandigarh,17.5
Indore,Madhya Pradesh,16.0
Bhopal,Madhya Pradesh,15.7
Visakhapatnam,Andhra Pradesh,16.7
Surat,Gujarat,16.2
Jaipur,Rajasthan,18.8
Nagpur,Maharashtra,18.6
Patna,Bihar,13.0
Coimbatore,Tamil Nadu,16.7
Kochi,Kerala,18.1
Raipur,Chhattisgarh,24.7
Amritsar,Punjab,15.0
Thiruvananthapuram,Kerala,17.1
Ranchi,Jharkhand,20.6
Guwahati,Assam,16.2
Dehradun,Uttarakhand,12.3
