hospital_id,hospital_name,city,beds,doctors,num_specializations,tier_label
1,Mumbai General Hospital,Mumbai,651,125,20,Large
2,All India Institute Mumbai,Mumbai,846,157,15,Mega / Super-Specialty
3,Mumbai Wellness & Research Hospital,Mumbai,890,126,10,Mega / Super-Specialty
4,Mumbai Multispecialty Hospital,Mumbai,296,42,10,Small / Community
5,Mumbai General Hospital #2,Mumbai,215,33,8,Small / Community
6,Mumbai Multispecialty Hospital #2,Mumbai,688,96,19,Large
7,Delhi Institute of Medical Sciences,Delhi,696,93,11,Medium
8,Delhi Super Specialty Hospital,Delhi,1189,167,15,Mega / Super-Specialty
9,Delhi Institute of Medical Sciences #2,Delhi,407,97,18,Large
10,Delhi General Hospital,Delhi,621,84,11,Medium
11,Delhi Wellness & Research Hospital,Delhi,647,89,13,Medium
12,Delhi Institute of Medical Sciences #3,Delhi,539,79,16,Large
13,Bengaluru District Hospital,Bengaluru,487,89,14,Medium
14,Bengaluru Apex Hospital,Bengaluru,472,107,12,Medium
15,Bengaluru Wellness & Research Hospital,Bengaluru,684,141,13,Mega / Super-Specialty
16,Bengaluru Super Specialty Hospital,Bengaluru,864,104,15,Mega / Super-Specialty
17,Bengaluru Super Specialty Hospital #2,Bengaluru,581,77,20,Large
18,All India Institute Bengaluru,Bengaluru,906,130,16,Mega / Super-Specialty
19,All India Institute Bengaluru #2,Bengaluru,512,55,12,Medium
20,St. Mary's Hospital Chennai,Chennai,616,121,16,Large
21,Chennai General Hospital,Chennai,1039,186,16,Mega / Super-Specialty
22,St. Mary's Hospital Chennai #2,Chennai,405,57,18,Large
23,Chennai Wellness & Research Hospital,Chennai,809,136,20,Mega / Super-Specialty
24,Chennai Wellness & Research Hospital #2,Chennai,299,48,11,Small / Community
25,Chennai Apex Hospital,Chennai,660,74,17,Large
26,Chennai Super Specialty Hospital,Chennai,1142,163,17,Mega / Super-Specialty
27,Chennai City Care Hospital,Chennai,573,77,19,Large
28,Chennai District Hospital,Chennai,1107,123,16,Mega / Super-Specialty
29,Kolkata Super Specialty Hospital,Kolkata,1013,189,17,Mega / Super-Specialty
30,Kolkata Institute of Medical Sciences,Kolkata,596,97,15,Large
31,Kolkata Multispecialty Hospital,Kolkata,767,90,19,Large
32,Kolkata Super Specialty Hospital #2,Kolkata,1140,183,15,Mega / Super-Specialty
33,St. Mary's Hospital Kolkata,Kolkata,847,159,18,Mega / Super-Specialty
34,Kolkata Super Specialty Hospital #3,Kolkata,905,148,16,Mega / Super-Specialty
35,Kolkata Apex Hospital,Kolkata,355,47,7,Small / Community
36,Kolkata Super Specialty Hospital #4,Kolkata,408,66,11,Medium
