hospital_id,hospital_name,city,state,city_tier,hospital_type,beds,doctors,num_specializations,specializations,established_year,rating
1,Mumbai General Hospital,Mumbai,Maharashtra,Tier 1,Private,651,125,20,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",2011,4.6
2,All India Institute Mumbai,Mumbai,Maharashtra,Tier 1,Private,846,157,15,"Anesthesiology, Cardiology, Dermatology, ENT, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry",1995,3.4
3,Mumbai Wellness & Research Hospital,Mumbai,Maharashtra,Tier 1,Private,890,126,10,"Anesthesiology, ENT, Endocrinology, Gastroenterology, Gynecology & Obstetrics, Nephrology, Oncology, Ophthalmology, Orthopedics, Pediatrics",1970,3.6
4,Mumbai Multispecialty Hospital,Mumbai,Maharashtra,Tier 1,Private,296,42,10,"Dermatology, Emergency Medicine, Gastroenterology, General Medicine, Gynecology & Obstetrics, Ophthalmology, Orthopedics, Psychiatry, Pulmonology, Urology",2003,3.5
5,Mumbai General Hospital #2,Mumbai,Maharashtra,Tier 1,Government,215,33,8,"Emergency Medicine, Endocrinology, Gastroenterology, Nephrology, Oncology, Ophthalmology, Pulmonology, Radiology",1969,3.4
6,Mumbai Multispecialty Hospital #2,Mumbai,Maharashtra,Tier 1,Private,688,96,19,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",2022,4.0
7,Delhi Institute of Medical Sciences,Delhi,Delhi,Tier 1,Private,696,93,11,"Cardiology, Dermatology, ENT, Endocrinology, General Surgery, Gynecology & Obstetrics, Oncology, Pediatrics, Psychiatry, Radiology, Urology",2018,3.0
8,Delhi Super Specialty Hospital,Delhi,Delhi,Tier 1,Private,1189,167,15,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Surgery, Gynecology & Obstetrics, Neurology, Ophthalmology, Orthopedics, Pediatrics, Pulmonology, Radiology",1965,4.3
9,Delhi Institute of Medical Sciences #2,Delhi,Delhi,Tier 1,Trust/NGO,407,97,18,"Anesthesiology, Cardiology, Dermatology, ENT, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",1974,2.9
10,Delhi General Hospital,Delhi,Delhi,Tier 1,Private,621,84,11,"Anesthesiology, Dermatology, Endocrinology, Gastroenterology, Neurology, Oncology, Ophthalmology, Orthopedics, Pediatrics, Pulmonology, Radiology",1973,3.9
11,Delhi Wellness & Research Hospital,Delhi,Delhi,Tier 1,Private,647,89,13,"Anesthesiology, Cardiology, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Nephrology, Neurology, Ophthalmology, Orthopedics, Psychiatry, Urology",2006,3.5
12,Delhi Institute of Medical Sciences #3,Delhi,Delhi,Tier 1,Government,539,79,16,"Anesthesiology, Cardiology, Dermatology, Emergency Medicine, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Nephrology, Neurology, Oncology, Ophthalmology, Psychiatry, Radiology, Urology",1986,3.8
13,Bengaluru District Hospital,Bengaluru,Karnataka,Tier 1,Trust/NGO,487,89,14,"Anesthesiology, Cardiology, Dermatology, ENT, Endocrinology, General Surgery, Gynecology & Obstetrics, Ophthalmology, Orthopedics, Pediatrics, Psychiatry, Pulmonology, Radiology, Urology",1963,4.0
14,Bengaluru Apex Hospital,Bengaluru,Karnataka,Tier 1,Trust/NGO,472,107,12,"Anesthesiology, Cardiology, ENT, Gastroenterology, General Medicine, General Surgery, Neurology, Oncology, Orthopedics, Psychiatry, Pulmonology, Urology",1986,4.2
15,Bengaluru Wellness & Research Hospital,Bengaluru,Karnataka,Tier 1,Private,684,141,13,"Anesthesiology, Cardiology, Dermatology, ENT, Endocrinology, Gastroenterology, General Medicine, General Surgery, Gynecology & Obstetrics, Neurology, Pediatrics, Radiology, Urology",1994,3.2
